id,kind,red,n,p,nodos,variante,repeticion,estado,T_Total,T_Dist,T_Scatter,T_Bcast,T_Summa,T_Calc,T_Gather,Checksum,WSum,Hash,Valido,pared_s,tx_mb_total,rx_mb_total,log,inicio,reparto,T_CalcMax,T_CalcMin,T_Reduce,Desbalance,Error,Pi
matriz_Ethernet_6144_24_1_1d_2,matriz,Ethernet,6144,24,1,1d,2,ok,7.342714,1.612356,0.211735,1.576287,0.000000,5.647352,3.162475,88332041.42,3.798985e+12,,,8.8517,0.553,0.19,resultados_optimizacion/20260925_extra/logs/matriz_Ethernet_6144_24_1_1d_2.log,2026-09-25T08:32:17.880298-05:00,24 por nodo,,,,,,
trapecio_Ethernet_100000000_24_1_simetrico_2,trapecio,Ethernet,100000000,24,1,simetrico,2,ok,0.007164,,,,,,,,,,,1.0561,0.0144,0.0125,resultados_optimizacion/20260925_extra/logs/trapecio_Ethernet_100000000_24_1_simetrico_2.log,2026-09-25T08:32:26.755971-05:00,24 por nodo,0.007155,0.003278,0.003884,2.183,2.44e-14,3.14159265358982
trapecio_Ethernet_100000000000_24_1_simetrico_2,trapecio,Ethernet,100000000000,24,1,simetrico,2,ok,5.183325,,,,,,,,,,,6.1149,0.2095,0.0551,resultados_optimizacion/20260925_extra/logs/trapecio_Ethernet_100000000000_24_1_simetrico_2.log,2026-09-25T08:32:27.853475-05:00,24 por nodo,5.183201,4.166595,1.016725,1.244,1.60e-13,3.14159265358995
trapecio_Ethernet_100000000000_96_4_simetrico_2,trapecio,Ethernet,100000000000,96,4,simetrico,2,ok,1.024349,,,,,,,,,,,4.326,0.8562,0.3779,resultados_optimizacion/20260925_extra/logs/trapecio_Ethernet_100000000000_96_4_simetrico_2.log,2026-09-25T08:32:34.001835-05:00,24 por nodo,1.023974,0.793611,0.190132,1.290,6.53e-14,3.14159265358986
trapecio_Ethernet_100000000000_96_4_asimetrico_3,trapecio,Ethernet,100000000000,96,4,asimetrico,3,ok,1.197861,,,,,,,,,,,4.3374,0.4604,0.4276,resultados_optimizacion/20260925_extra/logs/trapecio_Ethernet_100000000000_96_4_asimetrico_3.log,2026-09-25T08:33:05.471029-05:00,24 por nodo,1.197770,0.880898,0.076255,1.360,8.54e-13,3.14159265358894
matriz_Ethernet_6144_24_1_1d_3,matriz,Ethernet,6144,24,1,1d,3,ok,5.279325,0.958776,0.125742,0.933545,0.000000,4.447498,0.768452,88332041.42,3.798985e+12,,,6.7478,1.0266,0.0519,resultados_optimizacion/20260925_extra/logs/matriz_Ethernet_6144_24_1_1d_3.log,2026-09-25T08:33:09.851209-05:00,24 por nodo,,,,,,
trapecio_Ethernet_100000000_24_1_asimetrico_3,trapecio,Ethernet,100000000,24,1,asimetrico,3,ok,0.004043,,,,,,,,,,,1.0857,0.0091,0.0031,resultados_optimizacion/20260925_extra/logs/trapecio_Ethernet_100000000_24_1_asimetrico_3.log,2026-09-25T08:33:16.604858-05:00,24 por nodo,0.004029,0.003662,0.000362,1.100,2.18e-14,3.14159265358981
trapecio_Ethernet_100000000000_96_4_simetrico_3,trapecio,Ethernet,100000000000,96,4,simetrico,3,ok,1.011597,,,,,,,,,,,3.8506,0.8122,0.3773,resultados_optimizacion/20260925_extra/logs/trapecio_Ethernet_100000000000_96_4_simetrico_3.log,2026-09-25T08:33:17.709835-05:00,24 por nodo,1.011198,0.794816,0.194339,1.272,6.53e-14,3.14159265358986
trapecio_Ethernet_100000000000_24_1_asimetrico_3,trapecio,Ethernet,100000000000,24,1,asimetrico,3,ok,4.940324,,,,,,,,,,,6.0284,0.0423,0.0409,resultados_optimizacion/20260925_extra/logs/trapecio_Ethernet_100000000000_24_1_asimetrico_3.log,2026-09-25T08:33:21.602636-05:00,24 por nodo,4.940271,4.007843,0.585031,1.233,4.82e-12,3.14159265359461
matriz_Ethernet_6144_96_4_1d_3,matriz,Ethernet,6144,96,4,1d,3,ok,25.064780,24.108387,1.983928,22.420265,0.000000,1.000125,12.725223,88332041.42,3.798985e+12,,,29.0739,3020.8182,3020.3389,resultados_optimizacion/20260925_extra/logs/matriz_Ethernet_6144_96_4_1d_3.log,2026-09-25T08:33:27.634808-05:00,24 por nodo,,,,,,
matriz_Ethernet_7168_96_4_1d_3,matriz,Ethernet,7168,96,4,1d,3,ok,35.085925,33.240776,2.691351,30.916554,0.000000,1.768138,17.260745,120229724.49,6.032646e+12,,,39.114,4111.9937,4111.2152,resultados_optimizacion/20260925_extra/logs/matriz_Ethernet_7168_96_4_1d_3.log,2026-09-25T08:33:56.748174-05:00,24 por nodo,,,,,,
matriz_Ethernet_7168_24_1_1d_3,matriz,Ethernet,7168,24,1,1d,3,ok,7.561105,1.162152,0.176737,1.148228,0.000000,6.271510,1.083745,120229724.49,6.032646e+12,,,9.2957,0.1061,0.0163,resultados_optimizacion/20260925_extra/logs/matriz_Ethernet_7168_24_1_1d_3.log,2026-09-25T08:34:35.895567-05:00,24 por nodo,,,,,,
trapecio_Ethernet_100000000_96_4_asimetrico_3,trapecio,Ethernet,100000000,96,4,asimetrico,3,ok,0.001686,,,,,,,,,,,2.913,0.3452,0.4075,resultados_optimizacion/20260925_extra/logs/trapecio_Ethernet_100000000_96_4_asimetrico_3.log,2026-09-25T08:34:45.220495-05:00,24 por nodo,0.001083,0.000848,0.000763,1.278,1.15e-14,3.14159265358978
trapecio_Ethernet_100000000_24_1_simetrico_3,trapecio,Ethernet,100000000,24,1,simetrico,3,ok,0.007624,,,,,,,,,,,0.9981,0.0058,0.0008,resultados_optimizacion/20260925_extra/logs/trapecio_Ethernet_100000000_24_1_simetrico_3.log,2026-09-25T08:34:48.169773-05:00,24 por nodo,0.007581,0.003222,0.004400,2.353,2.44e-14,3.14159265358982
trapecio_Ethernet_100000000000_24_1_simetrico_3,trapecio,Ethernet,100000000000,24,1,simetrico,3,ok,4.753362,,,,,,,,,,,5.7051,0.0126,0.0582,resultados_optimizacion/20260925_extra/logs/trapecio_Ethernet_100000000000_24_1_simetrico_3.log,2026-09-25T08:34:49.214544-05:00,24 por nodo,4.753284,3.696927,1.019314,1.286,1.60e-13,3.14159265358995
trapecio_Ethernet_100000000_96_4_simetrico_3,trapecio,Ethernet,100000000,96,4,simetrico,3,ok,0.001345,,,,,,,,,,,2.9178,0.3514,0.3525,resultados_optimizacion/20260925_extra/logs/trapecio_Ethernet_100000000_96_4_simetrico_3.log,2026-09-25T08:34:54.990963-05:00,24 por nodo,0.001010,0.000792,0.000389,1.275,2.04e-14,3.14159265358977
